trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.5, 'e': 0.11598222130000553}",20,12,14.338968210488655,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.5, 'e': 0.11018311023500525}",25,2,10.432406180509545,"{0: 22, 1: 0, 2: 0, 3: 1, 4: 0}",1
44,False,"{'a': 0.5, 'e': 0.10467395472325498}",30,18,9.341726275083813,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
45,False,"{'a': 0.5, 'e': 0.09944025698709223}",30,0,-64.54568869498917,"{0: 24, 1: 1, 2: 3, 3: 1, 4: 1}",0
46,False,"{'a': 0.5, 'e': 0.09446824413773762}",35,15,-25.860783513229386,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",1
47,False,"{'a': 0.5, 'e': 0.08974483193085074}",25,8,6.586602048687914,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
48,False,"{'a': 0.5, 'e': 0.0852575903343082}",20,0,23.516860002424416,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
49,False,"{'a': 0.5, 'e': 0.08099471081759278}",20,11,16.3033729572707,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.07694497527671314}",30,9,-12.420489017604936,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 1}",1
51,False,"{'a': 0.5, 'e': 0.07309772651287748}",25,5,-53.45611906015091,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",1
52,False,"{'a': 0.5, 'e': 0.0694428401872336}",20,0,9.321107133518117,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
53,False,"{'a': 0.5, 'e': 0.0659706981778719}",25,0,21.868707337164537,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
54,False,"{'a': 0.5, 'e': 0.0626721632689783}",25,2,-21.684635082854044,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 1}",1
55,False,"{'a': 0.5, 'e': 0.059538555105529384}",30,0,41.72588867968732,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
56,False,"{'a': 0.5, 'e': 0.05656162735025291}",20,0,1.1385038528340439,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
57,False,"{'a': 0.5, 'e': 0.053733545982740265}",20,12,2.343355025805174,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
58,False,"{'a': 0.5, 'e': 0.05104686868360325}",20,15,9.45003758629153,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.5, 'e': 0.04849452524942309}",30,2,24.82461558798545,"{0: 27, 1: 0, 2: 1, 3: 0, 4: 0}",1
60,False,"{'a': 0.5, 'e': 0.04606979898695193}",20,7,11.949059866471655,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
61,False,"{'a': 0.5, 'e': 0.04376630903760433}",30,21,13.552921268345678,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.5, 'e': 0.041577993585724116}",30,16,-18.65394134044253,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
63,False,"{'a': 0.5, 'e': 0.03949909390643791}",20,9,23.225914692030663,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
