trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
43,False,"{'a': 0.5, 'e': 0.5699999999999996}",30,0,-89.47929864895731,"{0: 22, 1: 0, 2: 6, 3: 1, 4: 1}",0
44,False,"{'a': 0.5, 'e': 0.5599999999999996}",35,14,-30.926524092554537,"{0: 15, 1: 3, 2: 2, 3: 1, 4: 0}",1
45,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,3.1133814770679935,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
46,False,"{'a': 0.5, 'e': 0.5399999999999996}",20,0,-74.12073896834053,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
47,False,"{'a': 0.5, 'e': 0.5299999999999996}",25,0,-23.476165343922347,"{0: 22, 1: 0, 2: 1, 3: 2, 4: 0}",0
48,False,"{'a': 0.5, 'e': 0.5199999999999996}",25,0,-69.88650251462902,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 2}",0
49,False,"{'a': 0.5, 'e': 0.5099999999999996}",30,18,17.81903341069301,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.49999999999999956}",20,14,-4.751743882581685,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
51,False,"{'a': 0.5, 'e': 0.48999999999999955}",25,0,-24.036129822803257,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
52,False,"{'a': 0.5, 'e': 0.47999999999999954}",20,0,-47.85212731426563,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
53,False,"{'a': 0.5, 'e': 0.46999999999999953}",25,1,-48.36565049364556,"{0: 18, 1: 1, 2: 3, 3: 2, 4: 0}",1
54,False,"{'a': 0.5, 'e': 0.4599999999999995}",20,9,10.040169743794937,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.5, 'e': 0.4499999999999995}",20,0,-69.96168117620567,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
56,False,"{'a': 0.5, 'e': 0.4399999999999995}",30,14,-30.32058390606549,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 1}",1
57,False,"{'a': 0.5, 'e': 0.4299999999999995}",30,3,-17.441818056545344,"{0: 24, 1: 2, 2: 0, 3: 0, 4: 1}",1
58,False,"{'a': 0.5, 'e': 0.4199999999999995}",20,6,-2.831269188381313,"{0: 12, 1: 1, 2: 0, 3: 1, 4: 0}",1
59,False,"{'a': 0.5, 'e': 0.4099999999999995}",25,17,13.599318773182265,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.5, 'e': 0.39999999999999947}",20,9,-26.0621537554462,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
61,False,"{'a': 0.5, 'e': 0.38999999999999946}",20,2,-91.3476498029714,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 2}",1
62,False,"{'a': 0.5, 'e': 0.37999999999999945}",25,0,-18.291142583282713,"{0: 20, 1: 2, 2: 2, 3: 1, 4: 0}",0
63,False,"{'a': 0.5, 'e': 0.36999999999999944}",25,0,-17.993838356130535,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
64,False,"{'a': 0.5, 'e': 0.35999999999999943}",35,0,-100.93743156796752,"{0: 27, 1: 2, 2: 4, 3: 0, 4: 2}",0
65,False,"{'a': 0.5, 'e': 0.3499999999999994}",25,0,-25.121359110440878,"{0: 22, 1: 0, 2: 1, 3: 2, 4: 0}",0
66,False,"{'a': 0.5, 'e': 0.3399999999999994}",30,0,-63.71607271759447,"{0: 26, 1: 0, 2: 2, 3: 0, 4: 2}",0
67,False,"{'a': 0.5, 'e': 0.3299999999999994}",20,9,20.599345418287935,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.5, 'e': 0.3199999999999994}",20,9,13.97250754322956,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.5, 'e': 0.3099999999999994}",20,13,-8.554606395870469,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
70,False,"{'a': 0.5, 'e': 0.2999999999999994}",30,10,-0.25350593407398403,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",1
71,False,"{'a': 0.5, 'e': 0.28999999999999937}",20,0,-18.63988052167575,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
72,False,"{'a': 0.5, 'e': 0.27999999999999936}",20,10,-5.450136325951415,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
73,False,"{'a': 0.5, 'e': 0.26999999999999935}",30,0,-35.321767564348995,"{0: 27, 1: 0, 2: 1, 3: 1, 4: 1}",1
74,False,"{'a': 0.5, 'e': 0.25999999999999934}",20,0,-11.479610759338915,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
75,False,"{'a': 0.5, 'e': 0.24999999999999933}",25,0,-33.640408404159544,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
76,False,"{'a': 0.5, 'e': 0.23999999999999932}",25,3,-94.96304553884728,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 2}",1
77,False,"{'a': 0.5, 'e': 0.22999999999999932}",25,0,-26.648980629795563,"{0: 19, 1: 3, 2: 2, 3: 1, 4: 0}",0
78,False,"{'a': 0.5, 'e': 0.2199999999999993}",25,14,13.412342102589916,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.5, 'e': 0.2099999999999993}",20,12,5.995916123033027,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.1999999999999993}",30,1,19.99797176091394,"{0: 27, 1: 0, 2: 2, 3: 0, 4: 0}",1
81,False,"{'a': 0.5, 'e': 0.18999999999999928}",25,17,15.21640948271409,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.5, 'e': 0.17999999999999927}",25,13,10.243834037357729,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
83,False,"{'a': 0.5, 'e': 0.16999999999999926}",25,11,-58.59042136989024,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 2}",1
84,False,"{'a': 0.5, 'e': 0.15999999999999925}",25,12,20.409817877255303,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
