trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
390,True,"{'a': 0, 'e': 0}",20,0,30.277302508286244,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
391,True,"{'a': 0, 'e': 0}",30,0,15.706557619708791,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",0
392,True,"{'a': 0, 'e': 0}",30,3,42.3076760850754,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
393,True,"{'a': 0, 'e': 0}",25,0,34.65834439444263,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
394,True,"{'a': 0, 'e': 0}",25,0,38.43316293139185,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
395,True,"{'a': 0, 'e': 0}",20,15,9.271435851909773,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
396,True,"{'a': 0, 'e': 0}",25,1,26.664831886063944,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
397,True,"{'a': 0, 'e': 0}",30,0,35.931682577915744,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",1
398,True,"{'a': 0, 'e': 0}",25,15,23.346215067991725,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
399,True,"{'a': 0, 'e': 0}",25,0,-1.1027684638617254,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
400,True,"{'a': 0, 'e': 0}",20,0,33.95243260449322,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
401,True,"{'a': 0, 'e': 0}",25,0,-5.8136069709167275,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
402,True,"{'a': 0, 'e': 0}",20,0,28.815692575245322,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
403,True,"{'a': 0, 'e': 0}",25,3,36.422577327261436,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
404,True,"{'a': 0, 'e': 0}",20,1,5.064901926505055,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 0}",1
405,True,"{'a': 0, 'e': 0}",25,2,21.462586930566026,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
406,True,"{'a': 0, 'e': 0}",25,0,41.77447179704947,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
407,True,"{'a': 0, 'e': 0}",35,10,40.195938757725266,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
408,True,"{'a': 0, 'e': 0}",20,3,-37.4664040772991,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 1}",1
409,True,"{'a': 0, 'e': 0}",20,3,27.25860388765775,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
410,True,"{'a': 0, 'e': 0}",20,0,32.876647376886844,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
